fecha;casos_total;total_test;fallecimientos;ingresos_uci;hospitalizados
29/09/2020;748266;9831722;31411;1539;9223
30/09/2020;769188;9970788;31791;1561;9279
01/10/2020;778607;10101766;31973;1566;8821
02/10/2020;789932;10244355;32086;1594;8954
03/10/2020;789932;10335947;32086;1560;8662
04/10/2020;789932;10393029;32086;1580;9310
05/10/2020;813412;10498735;32225;1544;9150
06/10/2020;825410;10644511;32486;1568;9034
07/10/2020;835901;10784927;32562;1585;9036
08/10/2020;848324;10924547;32688;1590;8939
09/10/2020;861112;11062144;32929;1581;8543
10/10/2020;861112;11153021;32929;1580;8626
11/10/2020;861112;11211741;32929;1582;8815
12/10/2020;888968;11266217;33124;1628;9797
13/10/2020;896086;11388404;33204;1652;9987
14/10/2020;908056;11544148;33413;1702;9977
15/10/2020;921374;11705775;33553;1739;10103
16/10/2020;936560;11873755;33775;1767;9805
17/10/2020;936560;11987019;33775;1776;9853
18/10/2020;936560;12061200;33775;1860;11087
19/10/2020;974449;12203998;33992;1916;11403
20/10/2020;988322;12387197;34210;1930;11681
21/10/2020;1005295;12573555;34366;1979;12386
22/10/2020;1026281;12757500;34521;2031;12507
23/10/2020;1046132;12957027;34752;2116;12566
24/10/2020;1046132;13082113;34752;2135;13301
25/10/2020;1046132;13169088;34752;2210;14053
26/10/2020;1098320;13335309;35031;2298;14428
27/10/2020;1116738;13548315;35298;2368;14532
28/10/2020;1136503;13760017;35466;2399;14953
29/10/2020;1160083;13965646;35639;2482;15559
30/10/2020;1185678;14179406;35878;2546;15002
31/10/2020;1185678;14317126;35878;2563;15168
01/11/2020;1185678;14409851;35878;2650;16396
02/11/2020;1240697;14545285;36257;2764;17084
03/11/2020;1259366;14740384;36495;2786;17330
04/11/2020;1284408;14946707;38118;2802;17271
05/11/2020;1306316;15147254;38486;2863;17174
06/11/2020;1328832;15353582;38833;2932;16535
07/11/2020;1328832;15484182;38833;2937;16683
08/11/2020;1328832;15581564;38833;3048;18025
09/11/2020;1381218;15745393;39345;3066;17767
10/11/2020;1381218;15949797;39345;3093;17695
11/11/2020;1417709;16145738;40105;3121;17212
12/11/2020;1437220;16333894;40461;3125;16983
13/11/2020;1458591;16524635;40769;3108;16204
14/11/2020;1458591;16640057;40769;3110;16174
15/11/2020;1458591;16730473;40769;3165;17125
16/11/2020;1496864;16891051;41253;3127;16646
17/11/2020;1510023;17077921;41688;3120;16133
18/11/2020;1525341;17247083;42039;3127;15497
19/11/2020;1541574;17408547;42291;3092;14706
20/11/2020;1556730;17569788;42619;2961;13647
21/11/2020;1556730;17662000;42619;2955;13778
22/11/2020;1556730;17731845;42619;2925;14586
23/11/2020;1582616;17871408;43131;2861;13669
24/11/2020;1594844;18033315;43668;2838;12996
25/11/2020;1605066;18188033;44037;2815;12356
26/11/2020;1617355;18335450;44374;2774;11878
27/11/2020;1628208;18506080;44668;2689;11121
28/11/2020;1628208;18597058;44668;2680;11155
29/11/2020;1628208;18654095;44668;2641;11801
30/11/2020;1648187;18787508;45069;2590;11576
01/12/2020;1656444;18952120;45511;2484;10967
02/12/2020;1665775;19110876;45784;2437;10521
03/12/2020;1675902;19260026;46038;2368;10050
04/12/2020;1684647;19407477;46252;2290;9275
05/12/2020;1684647;19490762;46252;2279;9272
06/12/2020;1684647;19543388;46252;2251;9582
07/12/2020;1702328;19640461;46646;2172;9417
08/12/2020;1702328;19707009;46646;2179;9874
09/12/2020;1712101;19851537;47019;2153;9623
10/12/2020;1720056;20015992;47344;2100;9471
11/12/2020;1730575;20183468;47624;2079;8974
12/12/2020;1730575;20281676;47624;2058;9003
13/12/2020;1730575;20341182;47624;2068;9687
14/12/2020;1751884;20488469;48013;2027;9599
15/12/2020;1762212;20661138;48401;1964;9378
16/12/2020;1773290;20831448;48596;1955;9299
17/12/2020;1785421;21000048;48777;1920;9304
18/12/2020;1797236;21174478;48926;1914;8860
19/12/2020;1797236;21276022;48926;1914;8915
20/12/2020;1797236;21338236;48926;1944;9651
21/12/2020;1819249;21501069;49260;1906;9594
22/12/2020;1829903;21693535;49520;1931;9396
23/12/2020;1842289;21893910;49698;1907;8837
24/12/2020;1854951;22035336;49824;1909;8838
25/12/2020;1854951;22085021;49824;1927;9204
26/12/2020;1854951;22156686;49824;1888;9078
27/12/2020;1854951;22219355;49824;2023;9934
28/12/2020;1879413;22368829;50122;2020;10128
29/12/2020;1893502;22541331;50442;2036;9922
30/12/2020;1910218;22724010;50689;2072;9477
31/12/2020;1928265;22855234;50837;2026;9491
01/01/2021;1928265;22908560;50837;2085;10032
02/01/2021;1928265;22988221;50837;2038;9941
03/01/2021;1928265;23055744;50837;2192;11262
04/01/2021;1958844;23221140;51078;2220;11624
05/01/2021;1982544;23426854;51430;2214;11611
06/01/2021;1982544;23525636;51430;2307;12241
07/01/2021;2024904;23706335;51675;2318;12636
08/01/2021;2050360;23917512;51874;2334;12694
09/01/2021;2050360;24040826;51874;2359;12841
10/01/2021;2050360;24130607;51874;2537;14392
11/01/2021;2111782;24330469;52275;2651;15139
12/01/2021;2137220;24566690;52683;2746;15480
13/01/2021;2176089;24819232;52878;2849;16077
14/01/2021;2211967;25062111;53079;2953;16706
15/01/2021;2252164;25321044;53314;3006;17131
16/01/2021;2252164;25489027;53314;3039;17330
17/01/2021;2252164;25603228;53314;3294;19955
18/01/2021;2336451;25849049;53769;3425;20771
19/01/2021;2370742;26142078;54173;3581;21645
20/01/2021;2412318;26441773;54637;3732;22823
21/01/2021;2456675;26744458;55041;3908;23527
22/01/2021;2499560;27048134;55441;4048;23781
23/01/2021;2499560;27239452;55441;4089;23946
24/01/2021;2499560;27373218;55441;4284;26204
25/01/2021;2593382;27647151;56208;4433;26387
26/01/2021;2629817;27957322;56794;4515;26276
27/01/2021;2670102;28275983;57291;4608;26104
28/01/2021;2705001;28575251;57806;4727;26041
29/01/2021;2743119;28874020;58319;4774;25291
30/01/2021;2743119;29075836;58319;4784;25437
31/01/2021;2743119;29209283;58319;4894;27029
01/02/2021;2822805;29460355;59081;4853;26268
02/02/2021;2851869;29739368;59805;4836;25425
03/02/2021;2883465;30024937;60370;4843;24460
04/02/2021;2913425;30294486;60802;4795;23798
05/02/2021;2941990;30560856;61386;4762;22211
06/02/2021;2941990;30725735;61386;4744;22163
07/02/2021;2941990;30832587;61386;4732;22907
08/02/2021;2989085;31054261;62295;4593;21514
09/02/2021;3005487;31294720;63061;4558;20269
10/02/2021;3023601;31518020;63704;4447;19069
11/02/2021;3041454;31732470;64217;4351;17958
12/02/2021;3056035;31932409;64747;4284;16436
13/02/2021;3056035;32037057;64747;4274;16461
14/02/2021;3056035;32101719;64747;4196;16766
15/02/2021;3086286;32263677;65449;4053;15544
16/02/2021;3096343;32444861;65979;3909;14413
17/02/2021;3107172;32609600;66316;3840;13437
18/02/2021;3121687;32765926;66704;3739;12575
19/02/2021;3133122;32916078;67101;3630;11210
20/02/2021;3133122;32999142;67101;3623;11202
21/02/2021;3133122;33056505;67101;3539;11678
22/02/2021;3153971;33202736;67636;3367;10802
23/02/2021;3161432;33356905;68079;3243;10260
24/02/2021;3170644;33503714;68468;3133;9656
25/02/2021;3180212;33626959;68813;3021;9186
26/02/2021;3188553;33759949;69142;2958;8472
27/02/2021;3188553;33835097;69142;2953;8502
28/02/2021;3188553;33885059;69142;2923;8831
01/03/2021;3204531;34017523;69609;2796;8450
02/03/2021;3130184;34173432;69801;2710;8081
03/03/2021;3136321;34317680;70247;2615;7585
04/03/2021;3142358;34445859;70501;2571;7347
05/03/2021;3149012;34573337;71138;2527;6945
06/03/2021;3149012;34647030;71138;2521;6894
07/03/2021;3149012;34696919;71138;2471;7292
08/03/2021;3160970;34829150;71436;2366;7026
09/03/2021;3164982;34971720;71727;2331;6807
10/03/2021;3172101;35100623;71961;2243;6477
11/03/2021;3178356;35214645;72085;2185;6354
12/03/2021;3183704;35340834;72258;2121;6115
13/03/2021;3183704;35412725;72258;2119;6152
14/03/2021;3183704;35460389;72258;2112;6879
15/03/2021;3195062;35590516;72424;2037;6312
16/03/2021;3200024;35728931;72565;1997;6073
17/03/2021;3206116;35857901;72793;1950;5891
18/03/2021;3212332;35977230;72910;1958;5725
19/03/2021;3212332;36080597;72910;1911;5627
20/03/2021;3212332;36147004;72910;1913;5666
21/03/2021;3212332;36196181;72910;1948;6075
22/03/2021;3228803;36329006;73543;1876;6059
23/03/2021;3234319;36480089;73744;1855;5951
24/03/2021;3234319;36619608;73744;1853;5945
25/03/2021;3247738;36750010;74420;1830;5849
26/03/2021;3255324;36886644;75010;1812;5642
27/03/2021;3255324;36971241;75010;1808;5704
28/03/2021;3255324;37024309;75010;1867;6231
29/03/2021;3270825;37153872;75199;1853;6243
30/03/2021;3275819;37283656;75305;1832;6245
31/03/2021;3284353;37410172;75459;1843;6092
01/04/2021;3291394;37493267;75541;1847;6136
02/04/2021;3291394;37546697;75541;1876;6505
03/04/2021;3300965;37620921;75698;1834;6477
04/04/2021;3300965;37682686;75698;1931;7058
05/04/2021;3311325;37792865;75783;1992;7435
06/04/2021;3317948;37943182;75911;2009;7408
07/04/2021;3326736;38092276;76037;2024;7360
08/04/2021;3336637;38235794;76179;2050;7309
09/04/2021;3347512;38384921;76328;2075;7086
10/04/2021;3347512;38477786;76328;2078;7157
11/04/2021;3347512;38537056;76328;2168;7821
12/04/2021;3370256;38674744;76525;2152;7802
13/04/2021;3376548;38834011;76625;2153;7644
14/04/2021;3387022;38992880;76756;2144;7589
15/04/2021;3396685;39132416;76882;2180;7618
16/04/2021;3407283;39278922;76981;2195;7380
17/04/2021;3407283;39367396;76981;2213;7422
18/04/2021;3407283;39427022;76981;2276;8153
19/04/2021;3428354;39574962;77102;2286;8014
20/04/2021;3428354;39734310;77102;2288;7820
21/04/2021;3446072;39883442;77364;2283;7766
22/04/2021;3456886;40028524;77496;2297;7674
23/04/2021;3468617;40170114;77591;2303;7343
24/04/2021;3468617;40262989;77591;2303;7387
25/04/2021;3468617;40323792;77591;2356;8024
26/04/2021;3488469;40474154;77738;2332;7875
27/04/2021;3496134;40637385;77855;2316;7669
28/04/2021;3504799;40787324;77943;2322;7464
29/04/2021;3514942;40930384;78080;2302;7350
30/04/2021;3524077;41082341;78216;2296;6940
01/05/2021;3524077;41161472;78216;2289;6995
02/05/2021;3524077;41219677;78216;2315;7400
03/05/2021;3540430;41346289;78293;2289;7298
04/05/2021;3544945;41496304;78399;2241;6901
05/05/2021;3551262;41640994;78566;2212;6688
06/05/2021;3559222;41775310;78726;2183;6422
07/05/2021;3567408;41915769;78792;2155;5979
08/05/2021;3567408;41999230;78792;2156;5977
09/05/2021;3567408;42058050;78792;2134;6397
10/05/2021;3581392;42190890;78895;2038;6068
11/05/2021;3586333;42331295;79100;1991;5705
12/05/2021;3592751;42463145;79208;1931;5444
13/05/2021;3598452;42585875;79281;1899;5198
14/05/2021;3604799;42717467;79339;1853;4821
15/05/2021;3604799;42798356;79339;1828;4850
16/05/2021;3604799;42854023;79339;1836;5088
17/05/2021;3615860;42982344;79432;1772;4791
18/05/2021;3619848;43119613;79502;1739;4529
19/05/2021;3625928;43244920;79568;1688;4267
20/05/2021;3631661;43360130;79601;1650;4055
21/05/2021;3636453;43482509;79620;1622;3738
22/05/2021;3636453;43555213;79620;1621;3795
23/05/2021;3636453;43608254;79620;1628;3981
24/05/2021;3647520;43722059;79711;1551;3858
25/05/2021;3652879;43853656;79801;1499;3612
26/05/2021;3657886;43974637;79855;1467;3472
27/05/2021;3663176;44088513;79888;1426;3387
28/05/2021;3668658;44208059;79905;1387;3125
29/05/2021;3668658;44281545;79905;1387;3164
30/05/2021;3668658;44331747;79905;1347;3509
31/05/2021;3678390;44454509;79953;1285;3368
01/06/2021;3682778;44579407;79983;1236;3231
02/06/2021;3687762;44697294;80049;1205;3037
03/06/2021;3693012;44801898;80049;1162;2969
04/06/2021;3697981;44917698;80195;1118;2767
05/06/2021;3697981;44989892;80196;1123;2752
06/06/2021;3697981;45038668;80196;1124;2990
07/06/2021;3707523;45154120;80236;1088;2792
08/06/2021;3711027;45271442;80309;1040;2665
09/06/2021;3715454;45378537;80332;1005;2561
10/06/2021;3729458;45479564;80465;966;2461
11/06/2021;3733600;45585328;80501;927;2536
12/06/2021;3733600;45652947;80501;930;2533
13/06/2021;3733600;45700363;80501;918;2497
14/06/2021;3741767;45812485;80517;899;2352
15/06/2021;3745199;45928460;80579;853;2236
16/06/2021;3749031;46032220;80615;835;2239
17/06/2021;3753228;46127072;80634;793;2038
18/06/2021;3757442;46228605;80652;762;1889
19/06/2021;3757442;46294982;80652;763;1905
20/06/2021;3757442;46340668;80652;770;2062
21/06/2021;3764651;46449324;80689;728;1932
22/06/2021;3768691;46557006;80719;683;1821
23/06/2021;3773032;46661374;80748;655;1750
24/06/2021;3777539;46742199;80766;641;1725
25/06/2021;3782463;46852561;80779;633;1672
26/06/2021;3782463;46926820;80779;629;1656
27/06/2021;3782463;46978861;80779;642;1846
28/06/2021;3792642;47102639;80789;620;1765
29/06/2021;3799733;47238710;80829;601;1774
30/06/2021;3808960;47378938;80875;584;1773
01/07/2021;3821305;47518054;80883;586;1826
02/07/2021;3833868;47672663;80911;591;1800
03/07/2021;3833868;47778166;80911;591;1808
04/07/2021;3833868;47849411;80911;612;2105
05/07/2021;3866475;48002587;80934;607;2178
06/07/2021;3880612;48173801;80952;598;2230
07/07/2021;3897996;48349374;80969;605;2285
08/07/2021;3915313;48525667;80997;627;2494
09/07/2021;3937192;48723606;81003;637;2529
10/07/2021;3937192;48848481;81003;631;2536
11/07/2021;3937192;48940267;81003;719;3172
12/07/2021;3971124;49124066;81020;748;3432
13/07/2021;4015084;49330817;81033;797;3668
14/07/2021;4041474;49541232;81043;837;3860
15/07/2021;4069162;49754758;81084;871;4183
16/07/2021;4100222;49971772;81096;883;4234
17/07/2021;4100222;50107573;81096;888;4257
18/07/2021;4100222;50199842;81096;1035;5426
19/07/2021;4161850;50402866;81119;1116;5734
20/07/2021;4189136;50622743;81148;1180;6075
21/07/2021;4219723;50840895;81166;1240;6378
22/07/2021;4249258;51056579;81194;1292;6663
23/07/2021;4280429;51279543;81221;1309;6756
24/07/2021;4280429;51421348;81221;1319;6792
25/07/2021;4280429;51511049;81221;1486;7878
26/07/2021;4342054;51704688;81268;1542;7990
27/07/2021;4368453;51920729;81323;1593;8079
28/07/2021;4395602;52134779;81396;1645;8055
29/07/2021;4422291;52345342;81442;1698;8127
30/07/2021;4447044;52566578;81486;1700;8118
31/07/2021;4447044;52703649;81486;1713;8085
01/08/2021;4447044;52788405;81486;1856;8708
02/08/2021;4502983;52966792;81643;1867;8450
03/08/2021;4523310;53159921;81773;1904;8354
04/08/2021;4545184;53349128;81844;1919;8061
05/08/2021;4566571;53525135;81931;1928;8087
06/08/2021;4588132;53703359;82006;1942;8024
07/08/2021;4588132;53813679;82006;1948;8294
08/08/2021;4588132;53882352;82006;2031;8368
09/08/2021;4627770;54036222;82125;1988;8005
10/08/2021;4643450;54206600;82227;1947;7780
11/08/2021;4660473;54367748;82320;1921;7557
12/08/2021;4677883;54525827;82407;1922;7370
13/08/2021;4693540;54679558;82470;1921;7217
14/08/2021;4693540;54775542;82470;1917;7255
15/08/2021;4693540;54839862;82470;1912;7318
16/08/2021;4719266;54963058;82595;1901;7262
17/08/2021;4733602;55111097;82739;1854;6951
18/08/2021;4745558;55261625;82883;1843;6651
19/08/2021;4758003;55403939;83004;1818;6419
20/08/2021;4770453;55543611;83136;1804;6311
21/08/2021;4770453;55628501;83136;1803;6315
22/08/2021;4770453;55684117;83136;1834;6443
23/08/2021;4794352;55819156;83337;1757;6145
24/08/2021;4804424;55956515;83527;1758;5879
25/08/2021;4815205;56094005;83690;1699;5649
26/08/2021;4822320;56219400;83861;1684;5496
27/08/2021;4831809;56344574;84000;1681;5421
28/08/2021;4831809;56420670;84000;1680;5425
29/08/2021;4831809;56474494;84000;1651;5456
30/08/2021;4847298;56604017;84146;1571;5213
31/08/2021;4855065;56740004;84340;1514;4996
01/09/2021;4861883;56870627;84472;1491;4797
02/09/2021;4871444;56984899;84640;1460;4785
03/09/2021;4877755;57095710;84795;1450;4646
04/09/2021;4877755;57164637;84795;1450;4667
05/09/2021;4877755;57211510;84795;1383;4361
06/09/2021;4887112;57321423;84928;1348;4221
07/09/2021;4892640;57436554;85066;1308;4021
08/09/2021;4898258;57540587;85147;1257;3844
09/09/2021;4903021;57640971;85218;1227;3744
10/09/2021;4907461;57740549;85290;1228;3490
11/09/2021;4907461;57802935;85290;1225;3490
12/09/2021;4907461;57847925;85290;1172;3478
13/09/2021;4915265;57957819;85393;1134;3264
14/09/2021;4918526;58070814;85548;1097;3054
15/09/2021;4922249;58181959;85638;1058;2889
16/09/2021;4926324;58279983;85739;1029;2781
17/09/2021;4929546;58384245;85783;1016;2716
18/09/2021;4929546;58444545;85783;1015;2719
19/09/2021;4929546;58490447;85783;974;2680
20/09/2021;4935534;58605559;85901;925;2495
21/09/2021;4937984;58723226;85983;894;2334
22/09/2021;4940824;58836870;86085;867;2186
23/09/2021;4943855;58939953;86185;837;2111
24/09/2021;4946601;59040580;86229;821;2067
25/09/2021;4946601;59103602;86229;818;2051
26/09/2021;4946601;59151956;86229;805;2049
27/09/2021;4951640;59274173;86298;768;1992
28/09/2021;4953930;59397227;86358;728;1875
29/09/2021;4956691;59515052;86397;702;1812
30/09/2021;4959091;59617280;86415;674;1727
01/10/2021;4961128;59717139;86463;673;1709
02/10/2021;4961128;59776966;86463;669;1711
