fecha,casos_total,total_test,fallecimientos,ingresos_uci,hospitalizados
4/6/2020,136675,434413,13341,,
4/7/2020,141942,460415,14045,,
4/8/2020,148220,488650,14792,,
4/9/2020,153222,517144,15447,,
4/10/2020,158273,540059,16081,,
4/11/2020,163027,557355,16606,,
4/12/2020,166831,573247,17209,,
4/13/2020,170099,594179,17756,,
4/14/2020,172541,623133,18056,,
4/15/2020,177644,655168,18708,,
4/16/2020,184948,687037,19315,,
4/17/2020,190839,721168,20002,,
4/18/2020,191726,749392,20043,,
4/19/2020,198674,770551,20453,,
4/20/2020,200210,799754,20852,,
4/21/2020,204178,840874,21282,,
4/22/2020,208389,881867,21717,,
4/23/2020,213024,922905,22157,,
4/24/2020,202990,970291,22524,,
4/25/2020,205905,1002212,22902,,
4/26/2020,207634,1025016,23190,,
4/27/2020,209465,1059463,23521,,
4/28/2020,210773,1107320,23822,,
4/29/2020,212917,1152098,24275,,
4/30/2020,213435,1195833,24543,,
5/1/2020,215216,1226109,24543,,
5/2/2020,216582,1247065,25100,,
5/3/2020,217466,1263049,25264,,
5/4/2020,218011,1293744,25428,,
5/5/2020,219329,1337126,25613,,
5/6/2020,220325,1380150,25857,,
5/7/2020,221447,1423631,26070,,
5/8/2020,222857,1466486,26299,,
5/9/2020,223578,1496679,26478,,
5/10/2020,224350,1512232,26621,,
5/11/2020,227436,1544986,26744,,
5/12/2020,228030,1588127,26920,,
5/13/2020,228691,1634288,27104,,
5/14/2020,229540,1679538,27321,,
5/15/2020,230183,1724915,27459,,
5/16/2020,230698,1753497,27563,,
5/17/2020,230698,1768596,27563,,
5/18/2020,231606,1800952,27709,,
5/19/2020,232037,1846355,27778,,
5/20/2020,232555,1891921,27888,,
5/21/2020,233037,1935591,27940,,
5/22/2020,234824,1980062,28628,,
5/23/2020,235290,2008016,28678,,
5/24/2020,235772,2023935,28752,,
5/25/2020,235400,2056658,26834,,
5/26/2020,236259,2102269,27117,,
5/27/2020,236259,2147190,27117,,
5/28/2020,237906,2187685,27119,,
5/29/2020,238564,2232109,27121,,
5/30/2020,239228,2259263,27125,,
5/31/2020,239479,2274138,27127,,
6/1/2020,239638,2304445,27127,,
6/2/2020,239932,2349216,27127,,
6/3/2020,240326,2392957,27128,,
6/4/2020,240660,2432192,27133,,
6/5/2020,240978,2474044,27134,,
6/6/2020,241310,2499707,27135,,
6/7/2020,241550,2513229,27136,,
6/8/2020,241717,2545416,27136,,
6/9/2020,241966,2587861,27136,,
6/10/2020,242280,2628533,27136,,
6/11/2020,242707,2664208,27136,,
6/12/2020,243209,2706770,27136,,
6/13/2020,243605,2731144,27136,,
6/14/2020,243928,2745903,27136,,
6/15/2020,244109,2778548,27136,,
6/16/2020,244328,2819649,27136,,
6/17/2020,244683,2859203,27136,,
6/18/2020,245268,2893300,27136,,
6/19/2020,245575,2932208,28315,,
6/20/2020,245938,2956809,28322,,
6/21/2020,246272,2969844,28323,,
6/22/2020,246504,3000253,28324,,
6/23/2020,246752,3042150,28325,,
6/24/2020,247086,3075983,28327,,
6/25/2020,247486,3109329,28330,,
6/26/2020,247905,3152382,28338,,
6/27/2020,248469,3176733,28341,,
6/28/2020,248770,3192725,28343,,
6/29/2020,248970,3224846,28346,,
6/30/2020,249271,3266953,28355,,
7/1/2020,249659,3306143,28364,,
7/2/2020,250103,3340294,28368,,
7/3/2020,250545,3378511,28385,,
7/4/2020,250545,3401905,28385,,
7/5/2020,250545,3416512,28385,,
7/6/2020,251789,3446847,28388,,
7/7/2020,252130,3488445,28392,,
7/8/2020,252513,3528125,28396,,
7/9/2020,253056,3564658,28401,,
7/10/2020,253908,3605088,28403,,
7/11/2020,253908,3632528,28403,,
7/12/2020,253908,3648831,28403,,
7/13/2020,255953,3682840,28406,,
7/14/2020,256619,3726193,28409,,
7/15/2020,257494,3771744,28413,,
